銀行,第一類帳戶,第二類帳戶,第三類帳戶,合計,年份,季度,年季,年月,類型
臺灣銀行,"14,998","74,496","17,093","106,587",2022,Q3,2022-Q3,Sep-22,公股行庫
臺灣土地銀行,"12,665","77,578","100,144","190,387",2022,Q3,2022-Q3,Sep-22,公股行庫
合作金庫商業銀行,"16,541","126,616","302,878","446,035",2022,Q3,2022-Q3,Sep-22,公股行庫
第一商業銀行,"174,554","630,534","249,002","1,054,090",2022,Q3,2022-Q3,Sep-22,公股行庫
華南商業銀行,"19,138","443,913","52,853","515,904",2022,Q3,2022-Q3,Sep-22,公股行庫
彰化商業銀行,"223,003","96,863","186,650","506,516",2022,Q3,2022-Q3,Sep-22,公股行庫
上海商業儲蓄銀行,"1,743","24,207","61,999","87,949",2022,Q3,2022-Q3,Sep-22,民營銀行
台北富邦商業銀行,"25,502","65,409","261,940","352,851",2022,Q3,2022-Q3,Sep-22,民營銀行
國泰世華商業銀行,"289,435","997,933","416,772","1,704,140",2022,Q3,2022-Q3,Sep-22,民營銀行
高雄銀行,256,"1,432","15,296","16,984",2022,Q3,2022-Q3,Sep-22,民營銀行
兆豐國際商業銀行,"27,834","78,734","78,490","185,058",2022,Q3,2022-Q3,Sep-22,公股行庫
花旗(台灣)商業銀行,"3,274",0,"8,812","12,086",2022,Q3,2022-Q3,Sep-22,民營銀行
王道商業銀行,"82,836",0,"402,386","485,222",2022,Q3,2022-Q3,Sep-22,民營銀行
臺灣中小企業銀行,"14,516","28,228","25,081","67,825",2022,Q3,2022-Q3,Sep-22,公股行庫
渣打國際商業銀行,"3,239",813,"18,138","22,190",2022,Q3,2022-Q3,Sep-22,民營銀行
台中商業銀行,0,111,0,111,2022,Q3,2022-Q3,Sep-22,民營銀行
京城商業銀行,"1,042","3,477","22,948","27,467",2022,Q3,2022-Q3,Sep-22,民營銀行
滙豐(台灣)商業銀行,"13,698",0,"19,546","33,244",2022,Q3,2022-Q3,Sep-22,民營銀行
瑞興商業銀行,76,0,581,657,2022,Q3,2022-Q3,Sep-22,民營銀行
華泰商業銀行,29,0,161,190,2022,Q3,2022-Q3,Sep-22,民營銀行
臺灣新光商業銀行,"10,041","1,139","164,383","175,563",2022,Q3,2022-Q3,Sep-22,民營銀行
陽信商業銀行,"1,186","1,758","1,490","4,434",2022,Q3,2022-Q3,Sep-22,民營銀行
板信商業銀行,0,21,0,21,2022,Q3,2022-Q3,Sep-22,民營銀行
三信商業銀行,276,0,341,617,2022,Q3,2022-Q3,Sep-22,民營銀行
聯邦商業銀行,"78,571",0,"309,263","387,834",2022,Q3,2022-Q3,Sep-22,民營銀行
遠東國際商業銀行,"22,181","15,972","126,821","164,974",2022,Q3,2022-Q3,Sep-22,民營銀行
元大商業銀行,538,"7,268","28,980","36,786",2022,Q3,2022-Q3,Sep-22,民營銀行
永豐商業銀行,"517,886","284,091","496,996","1,298,973",2022,Q3,2022-Q3,Sep-22,民營銀行
玉山商業銀行,"101,620","110,746","300,449","512,815",2022,Q3,2022-Q3,Sep-22,民營銀行
凱基商業銀行,501,0,"29,984","30,485",2022,Q3,2022-Q3,Sep-22,民營銀行
星展(台灣)商業銀行,0,0,"5,549","5,549",2022,Q3,2022-Q3,Sep-22,民營銀行
台新國際商業銀行,"1,104,633","662,752","1,152,134","2,919,519",2022,Q3,2022-Q3,Sep-22,民營銀行
日盛國際商業銀行,0,105,61,166,2022,Q3,2022-Q3,Sep-22,民營銀行
安泰商業銀行,"1,700","1,633","3,494","6,827",2022,Q3,2022-Q3,Sep-22,民營銀行
中國信託商業銀行,"62,278","321,465","487,579","871,322",2022,Q3,2022-Q3,Sep-22,民營銀行
將來商業銀行,"6,400",0,"181,481","187,881",2022,Q3,2022-Q3,Sep-22,純網銀
連線商業銀行,"36,226",0,"1,276,117","1,312,343",2022,Q3,2022-Q3,Sep-22,純網銀
樂天國際商業銀行,"19,844",0,"104,015","123,859",2022,Q3,2022-Q3,Sep-22,純網銀
臺灣銀行,"13,372","59,895","10,853","84,120",2022,Q2,2022-Q2,Jun-22,公股行庫
臺灣土地銀行,"11,791","68,574","92,304","172,669",2022,Q2,2022-Q2,Jun-22,公股行庫
合作金庫商業銀行,"16,312","108,757","270,665","395,734",2022,Q2,2022-Q2,Jun-22,公股行庫
第一商業銀行,"155,378","591,474","235,012","981,864",2022,Q2,2022-Q2,Jun-22,公股行庫
華南商業銀行,"18,207","402,195","44,349","464,751",2022,Q2,2022-Q2,Jun-22,公股行庫
彰化商業銀行,"190,580","89,170","169,986","449,736",2022,Q2,2022-Q2,Jun-22,公股行庫
上海商業儲蓄銀行,"1,746","21,342","53,707","76,795",2022,Q2,2022-Q2,Jun-22,民營銀行
台北富邦商業銀行,"23,219","58,499","226,413","308,131",2022,Q2,2022-Q2,Jun-22,民營銀行
國泰世華商業銀行,"276,066","991,413","348,590","1,616,069",2022,Q2,2022-Q2,Jun-22,民營銀行
高雄銀行,110,"1,422","13,558","15,090",2022,Q2,2022-Q2,Jun-22,民營銀行
兆豐國際商業銀行,"26,716","57,780","59,836","144,332",2022,Q2,2022-Q2,Jun-22,公股行庫
花旗(台灣)商業銀行,"3,098",0,"8,185","11,283",2022,Q2,2022-Q2,Jun-22,民營銀行
王道商業銀行,"82,044",0,"398,076","480,120",2022,Q2,2022-Q2,Jun-22,民營銀行
臺灣中小企業銀行,"12,725","24,089","23,072","59,886",2022,Q2,2022-Q2,Jun-22,公股行庫
渣打國際商業銀行,"3,206",798,"16,873","20,877",2022,Q2,2022-Q2,Jun-22,民營銀行
台中商業銀行,0,113,0,113,2022,Q2,2022-Q2,Jun-22,民營銀行
京城商業銀行,931,"2,890","19,369","23,190",2022,Q2,2022-Q2,Jun-22,民營銀行
